file,decade,year,regex你好,regex上午下午晚上中午早上好,regex你好吗,regex吃了吗,regex嗨
The.Flowers.Of.War.2011.720p.BluRay.H264.AAC-RARBG.Eng.srt,2010,2011,0,0,0,0,0
The.Bravest.2019.GER.BluRay.720p.x264.AC3-CMCT.chs.srt,2010,2019,2,0,0,0,0
驴得水.Mr.Donkey.2016.ass,2010,2016,0,5,1,0,0
The.Bold.the.Corrupt.and.the.Beautiful.2017.720p.BluRay.x264-WiKi.chs.srt,2010,2017,0,0,0,0,0
嫌疑人X的献身 2008 中日双语,2010,2008,3,0,0,0,0
Bodies.at.Rest.2019.720p.BluRay.x264-WiKi.chs.srt,2010,2019,4,0,0,0,0
[中国合伙人].American.Dreams.in.China.2013.CHINESE.1080p.BluRay.x264.DTS-FGT.srt,2010,2013,5,0,0,0,0
Lost.in.Hong.Kong.2015.720p.BluRay.x264-ROVERS.chs.srt,2010,2015,3,2,1,1,0
[行者使徒]Line.Walker.2016.720p.BluRay.x264-WiKi.eng.srt,2010,2016,0,0,0,0,0
简英双显.srt,2010,None,0,0,0,0,0
【白白爱分享】中国机长.The.Captain.2019.BluRay.1080p.DTS-HDMA5.1.x264-CHD.srt,2010,2019,1,0,3,0,0
使徒行者2：谍影行动(中英双语，片长97分41秒）.ass,2010,None,0,0,0,0,0
[浪矢解忧杂货店].Miracles.of.the.Namiya.General.Store.2017.JAPANESE.1080p.BluRay.H264.AAC-VXT.srt,2010,2017,4,1,0,1,0
The.Great.Hypnotist.2014.ass,2010,2014,2,0,0,0,0
后会无期[The.Continent.2014].CHINESE.1080p.BluRay.x264-iKiW.srt,2010,2014,2,0,0,0,0
机器之血.Bleeding.Steel.2017.1080p.Bluray.DD5.1.x264-playHD[EtHD].ass,2010,2017,6,6,1,1,0
我的少女时代.Our.Times.2015.1080p.BluRay.x264-ROVERS.eng.srt,2010,2015,0,0,0,0,0
.DS_Store,2010,None,0,0,0,0,0
阳光普照 甜蜜电影字幕组外挂中字.srt,2010,None,1,2,8,0,0
Suddenly.Seventeen.2015.CHINESE.720p.BluRay.H264.AAC-VXT_chsEng.srt,2010,2015,2,2,0,1,0
L.Storm.2018.720p.BluRay.x264-WiKi.chs.srt,2010,2018,7,1,0,0,0
San.Sheng.San.Shi.Shi.Li.Tao.Hua.2017.1080p.BluRay.DTS-HD.MA.7.1.x264-PbK-chs.srt,2010,2017,0,0,0,0,0
Port.of.Call.2015.REPACK.Directors.Cut.BluRay.1080p.x264.DD5.1-HDChina .eng.srt,2010,2015,0,0,0,0,0
Operation.Mekong.2016.1080p.BluRay.CHS&ENG.ass,2010,2016,2,1,1,0,0
西游记之大圣归来.特效中英字幕.Monkey.King.Hero.Is.Back.2015.BluRay.1080p.x264.FLAC.2.0.ass,2010,2015,0,0,0,0,0
[寒战2].Cold.War.II.2016.BDRip.X264.DualAudio.iNT-TLF.srt,2010,2016,2,0,0,0,0
只有芸知道 (2019).srt,2010,2019,6,14,2,0,0
nobodies 第三集 .ass,2010,None,0,8,1,0,0
The.Shadow.Play.2018.Uncut.Hybird.1080p.WEBRip.AAC2.0.x265-MOMOHD.chs.srt,2010,2018,0,0,0,0,0
夏洛特烦恼Goodbye.Mr.Loser.2015.720p.BluRay.xs264-WiKi.ass,2010,2015,2,0,0,0,0
西虹市首富.Hello.Mr.Billionaire.2018.CHINESE.1080p.BluRay.H264.AAC.精校中字.srt,2010,2018,8,0,1,0,0
Chongqing.Hot.Pot.2016.720p.BluRay.x264-WiKi.chs.srt,2010,2016,1,0,0,0,2
Cook.Up.a.Storm.2017.720p.BluRay.x264-WiKi.HK.chs.srt,2010,2017,6,0,0,0,0
The.Crossing.2018.CHINESE.1080p.NF.WEBRip.DDP5.1.x264-PLB.chs.srt,2010,2018,1,0,0,1,1
From.Vegas.to.Macau.III.2016.720p.BluRay.x264-WiKi.chs.srt,2010,2016,6,0,0,0,0
《奇门遁甲》The.Thousand.Faces.of.Dunjia.2020.WEB.chs-FFans@HDMove.ass,2010,2020,0,0,0,0,0
How.Long.Will.I.Love.U.2018.720p.BluRay.x264-WiKi.chs.srt,2010,2018,4,1,0,0,0
20.Once.Again.2015.720p.BluRay.x264-WiKi.chs.srt,2010,2015,1,0,0,0,0
【白白爱分享】攀登者.The.Climbers.2019.BluRay.1080p.DTS-HDMA5.1.x264-CHD.srt,2010,2019,3,0,0,0,0
The.Wasted.Times.2016.720p.BluRay.x264-WiKi.chs.ass,2010,2016,1,0,0,0,0
nereid-mtb-cd2.chs.srt,2010,None,2,0,0,0,2
You.Are.The.Apple.Of.My.Eye.720p.BluRay.x264.DTS-HD.Chs&ru.srt,2010,None,0,0,0,0,0
Wunderkinder.2011.720p.BluRay.x264.DTS-HDChina.HR-HDTV-muxed.cht.ass,2010,2011,3,1,1,0,0
Reset.2017.720p.BluRay.x264-WiKi.chs.srt,2010,2017,2,0,0,1,0
李宗盛「既然青春留不住-还是做个大叔好」演唱会 Jonathan Lee Even If Youth Is Never Lasting World Tour LIVE (2016).srt,2010,2016,1,3,0,0,0
From.Vegas.to Macau.II.2015.720p.BluRay.x264-WiKi.chs.srt,2010,2015,4,0,0,0,0
特殊身份 完美国语电影版,2010,None,1,0,1,0,0
2、我不是潘金莲 - 简体.ass,2010,None,0,0,0,0,0
无人区 No.Mans.Land.2013.CHINESE.1080p.BluRay.H264.AAC-VXT.srt,2010,2013,1,0,0,0,0
Women.Who.Flirt.2014.1080p.BluRay.x264-WiKi.chs.srt,2010,2014,6,1,0,0,0
From.Vegas.to.Macau.2014.1080p.BluRay.x264-WiKi.chs.srt,2010,2014,7,0,0,0,0
山河故人 Mountains.May.Depart.2015.1080p.BluRay.x264.DTS-WiKi.chs.ass,2010,2015,7,3,2,0,1
Wu.Kong.2017.720p.BluRay.x264-WiKi.CN.chs.srt,2010,2017,0,0,0,0,0
Pleasant.Goat.and.Big.Big.Wolf.2010.eng.srt,2010,2010,0,0,0,0,0
浮城谜事 Mystery.2012.CHINESE.1080p.NF.WEBRip.DDP5.1.x264-NOGRP.chs.ass,2010,2012,7,0,0,0,1
Hidden.Man.2018.CHINESE.720p.BluRay.H264.AAC-VXT.chseng.srt,2010,2018,0,6,0,0,0
滚蛋吧！肿瘤君 (2015) Go.Away.Mr.Tumor.2015.CHINESE.1080p.WEBRip.x265-VXT,2010,2015,3,1,0,0,0
二十[Twenty.2015].KOREAN.1080p.BluRay.x264-iKiW.srt,2010,2015,7,2,0,0,0
豆瓣TOP250-大佛普拉斯 The.Great.Buddha+2017.BluRay.1080p.x265.10bit.MNHD-FRDS.srt,2010,2017,1,0,0,0,0
Mojin.The.Worm.Valley,2010,None,0,0,0,0,0
P.Storm.2019.720p.BluRay.x264-WiKi.chs.srt,2010,2019,0,0,0,0,0
Les.Aventures.d'Anthony.2015.720p.BluRay.x264-WiKi.chs.srt,2010,2015,14,14,1,3,0
[暴裂无声]Wrath.of.Silence.2017.1080p.BluRay.x264.DTS-WiKi.srt,2010,2017,0,2,0,0,0
[七月与安生].SoulMate.2016.1080p.Blu-ray.AVC.DTS-HD.MA.5.1-HDChina.srt,2010,2016,3,1,0,0,0
十二公民.12.Citizens.2014.1080p.WEB-DL.H264.AAC-iTunes.srt,2010,2014,0,0,0,0,0
Under.the.Hawthorn.Tree.2010.BluRay.1080p.DTS.x264-CHD,2010,2010,1,0,0,0,0
陪考老炮儿 Papi Sitter (2020) Papi-Sitter.2020.REPACK.FRENCH.1080p.WEB.H264-EXTREME [Malentendants].srt,2010,2020,0,0,0,0,0
唐人街探案2.srt,2010,None,2,0,0,0,0
The.Master.2012.1080p.BluRay.x265-RARBG.ass,2010,2012,24,0,8,2,0
地久天长 (185 分钟) So.Long.My.Son.2019.CHINESE.1080p.BluRay.x264.DTS-iKiW.Eng.srt,2010,2019,0,0,0,0,0
[我不是药神].Dying.to.Survive.2018.BluRay.Remux.1080p.AVC.Atmos.7.1-MTeam.srt,2010,2018,2,0,0,0,0
赛德克·巴莱 Warriors.Of.The.Rainbow.Seediq.Bale.PART1.2011.BluRay.1080p.DTS.x264-CHD.chs.ass,2010,2011,5,0,0,1,0
受益人 My.Dear.Liar.2019.1080p.DSNP.WEB-DL.AAC2.0.H.264-PandaMoon.chs.ass,2010,2019,2,0,0,0,0
Nine.Lives.2016.ass,2010,2016,7,3,1,1,0
