file,decade,year,regex你好,regex嗨,regex上午下午晚上中午早上好,regex你好吗,regex吃了吗
End.Game.2021.CHINESE.1080p.BluRay.x264.DD5.1-iKiW.简3.ass,2020,2021,11,1,0,0,0
Nezha.2021.BluRay.720p.x264.AC3.2Audios-CMCT.chs.srt,2020,2021,2,4,0,0,0
魂断蓝桥 Waterloo.Bridge.1940.1080p.BluRay.x264.DTS-LHD.chs&eng.ass,2020,1940,17,5,2,2,0
Hot.Bot.2016.1080p.NF.WEB-DL.DD5.1.x264-monkee.chs.srt,2020,2016,15,18,2,2,0
世间有她 Hero.2022.1080p.BluRay.x264-CTRLHD.chs.ass,2020,2022,6,1,0,0,0
End.Game.2021.CHINESE.1080p.BluRay.x264.DD5.1-iKiW.简2.ass,2020,2021,11,1,0,0,0
My.Country.My.Parents.2021.1080p.BluRay.x264-WiKi.chs.srt,2020,2021,0,0,0,0,0
绝地战警：疾速追击.(2020) 蓝光原盘(1080P&2160P) REMUX 特效字幕.txt,2020,2020,0,0,0,0,0
温暖的抱抱 (2020).srt,2020,2020,5,0,0,0,0
赤色大風暴.1990.BDRip.2AC3.HKFACT@NO.7.简.srt,2020,1990,0,0,0,0,0
When.a.Stranger.Calls.1979.REMASTERED.1080p.BluRay.X264-AMIABLE.chs.srt,2020,1979,15,25,0,0,0
Enormous.Legendary.Fish.2020.CHINESE.WEB-DL.1080p.chs.srt,2020,2020,0,0,0,0,0
End.Game.2021.CHINESE.1080p.BluRay.x264.DD5.1-iKiW.简1.ass,2020,2021,11,1,0,0,0
中国医生 Chinese.Doctors.2021.720p.BluRay.x264-WiKi.chs.ass,2020,2021,6,0,0,0,1
如果声音不记得 (2020).srt,2020,2020,0,0,1,0,0
明日战记 Warriors.of.Future.2022.1080p.NF.WEB-DL.DUAL.DDP5.1.H.264-SMURF.chs.ass,2020,2022,0,0,0,0,0
Crocodile.Island.2020.BDRip.X264.AC3.srt,2020,2020,3,0,0,0,0
深海.Deep.Sea.2023.BluRay.chs.srt,2020,2023,1,0,0,0,0
End.Game.2021.CHINESE.1080p.BluRay.x264.DD5.1-iKiW.简4.ass,2020,2021,11,1,0,0,0
Let.Life.Be.Beautiful.2020.CHINESE.1080p.WEB-DL.chs.srt,2020,2020,3,0,0,0,1
Someday.or.One.Day.2022.BluRay.1080p.x265.10bit.AC3-CMCT.chs.ass,2020,2022,2,3,0,0,0
[刺杀小说家].A.Writers.Odyssey.2021.CHINESE.UHD.BluRay.REMUX.HEVC.DTS-HD.MA.TrueHD.7.1.Atmos-FGT.srt,2020,2021,0,0,0,0,0
[精调双语]Sniper.3.2004.1080p.AMZN.WEB-DL.DDP5.1.x264-ABM.chs.forced.ass,2020,2004,2,3,0,1,0
Soul.Snatcher.2020.REPACK.720p.BluRay.x264-WiKi.chs.srt,2020,2020,0,0,0,0,0
I.Am.What.I.Am.2021.1080p.BluRay.x264.DTS-WiKi.chs.srt,2020,2021,2,1,0,0,0
The.Battle.at.Lake.Changjin.II.2022.1080p.BluRay.x264-WiKi.chs.srt,2020,2022,0,0,1,0,0
Cliff.Walkers.2021.720p.BluRay.x264-WiKi.chs&eng.ass,2020,2021,0,0,0,0,0
The.Queen.of.Kung.Fu.2020.CHINESE.1080p.WEB-DL.srt,2020,2020,0,0,0,0,0
我要我们在一起 Love.Will.Tear.Us.Apart.2021.CHINESE.1080p.AMZN.WEB-DL.DDP2.0.H.264-THR.chs.ass,2020,2021,3,0,0,0,0
目中无人.Eye.for.an.Eye.The.Blind.Swordsman.2022.USA.Blu-ray.1080p.AVC.DTS-HD.MA.5.1.srt,2020,2022,0,0,0,0,0
Coffee.or.Tea.2020.Amazon.WEB-DL.1080p.H264.DDP-AREY.chs.srt,2020,2020,5,0,0,0,0
唐人街探案3 (2021).srt,2020,2021,0,1,0,0,0
新神榜.杨戬.2022.bluray.1080p.chs.ass,2020,2022,0,0,0,0,0
All.or.Nothing.Tottenham.Hotspur.S01E09.The.Run-In.1080p.AMZN.WEB-DL.DDP5.1.H.264-NTb.srt,2020,1080,0,7,0,0,0
Marry.My.Dead.Body.2022.1080p.NF.WEB-DL.x264.DDP5.1-PTerWEB.chs.srt,2020,2022,4,4,0,0,0
当男人恋爱时 Man.in.Love.2021.1080p.BluRay.x264-NOELLE.chs.ass,2020,2021,4,0,0,0,0
The Wandering Earth 2 2023 BluRay 1080p x264 DTS-HD MA5.1-HDChina_[chi]s.srt,2020,2023,3,1,0,1,0
OneWeekFriends.2014.E12.1920x1080.x264.AAC.CHD.Chs.ass,2020,2014,1,0,5,0,0
你好，李焕英.Hi.Mom.2021.srt,2020,2021,3,0,0,1,0
纵横四海 Once.A.Thief.1991.1080p.BluRay.x264-WiKi.chs.ass,2020,1991,4,1,0,1,0
恋爱大赢家（2004）.ass,2020,2004,0,1,0,0,0
Cloudy.Mountain.2021.1080p.BluRay.chs.srt,2020,2021,3,0,0,0,0
One.Second.2020.BluRay.720p.x264.AC3-CMCT.chs.ass,2020,2020,0,0,0,0,0
Green.Night.2023.WEB-DL.1080p.chs-特效简中.V2(电脑外挂&压制专用)-YUZECM.ass,2020,2023,5,0,0,0,0
Detective.vs.Sleuths.2022.1080p.BluRay.chs.srt,2020,2022,0,0,0,0,0
消失的她.Lost.in.the.Stars.2023.1080p.WEB-DL.H264.MPEG-GPTHD.ass,2020,2023,1,3,0,0,0
