file,decade,year,regex你好,regex上午下午晚上中午早上好,regex你好吗,regex吃了吗,regex嗨
油鬼子.The.Oily.Maniac.1976.SB.BluRay.chs.srt,1970,1976,1,0,0,0,0
革命京剧样板戏《红色娘子军》1972八一.DVDRip.x264.srt,1970,1972,0,0,0,0,0
少林门(英版2k修复).hand.of.death.1976.2k.remastered.gbr.bluray.1080p.x264.精校中字.srt,1970,1976,1,0,0,0,0
射雕英雄传2 the brave archer 2 1978.srt,1970,1978,0,1,0,0,0
十四女英豪.the.14.amazons.1972.bluray.1080p-asxzwang.srt,1970,1972,0,0,0,0,0
the.shadow.whip.1971.usa.bdrip.x264.ac3.srt,1970,1971,0,0,0,0,0
Enter.the.Fat.Dragon.2020.BluRay.720p.x264.AC3.2Audios-CMCT.chs.ass,1970,2020,5,0,3,0,0
the.killer.meteors.1976.720p.bluray.x264-orbs.srt,1970,1976,0,0,0,1,0
人蛇鼠.cobra girl.1977.sb.dvdrip.srt,1970,1977,3,0,0,0,0
阿菊与阿勇.kiku.to.isamu.1959.ass,1970,1959,1,4,1,0,0
[红灯记].the legend of the red lantern.1970.1440x1080.h264.aac.@60后[4.91gb].srt,1970,1970,0,3,0,2,0
香港奇案之凶杀.the.criminals.2：homicides.1976.r3.sb.dvdrip.x264.2audio.chs.srt,1970,1976,0,0,0,0,0
"[新精武門一九九一].fist,of,fury.1991.bluray - 国语.srt",1970,1991,0,0,0,1,0
豪侠 last hurrah for chivalry.1979.srt,1970,1979,0,1,0,0,0
"洋妓.karate, kuesse, blonde katzen 1974 1080p ger blu-ray avc dts-hd ma 1.0.srt",1970,1974,1,20,2,0,0
cleopatra.1934.1080p.bluray.x264.dts-fgt.srt,1970,1934,2,0,0,1,0
少林寺.sb.1976.srt,1970,1976,0,1,0,0,0
游侠儿(天映修复).the.wandering.swordman.1970.web-dl.1080p.国语中字.srt,1970,1970,0,0,0,0,0
新独臂刀.new.one.armed.swordsman.1971.bd720p.国语中字.srt,1970,1971,0,0,0,0,0
生死门.1978.sb.ass,1970,1978,0,0,0,0,0
[七金尸].the.legend.of.the.7.golden.vampires.1974.1080p.bluray.srt,1970,1974,0,0,0,1,0
the.contract.1978.mandarin.dubbed.1080p.bluray.x264-regret.ass,1970,1978,0,0,0,0,0
Cops.And.Robbers.1979.HKG.BluRay.720p.x264.AC3.2Audios-CMCT.chs.ass,1970,1979,1,0,0,0,0
血芙蓉(英版蓝光).the.vengeful.beauty.1978.gbr.bluray.720p.x264.flac.国配精校中字.srt,1970,1978,0,0,0,0,0
.DS_Store,1970,None,0,0,0,0,0
街市英雄 Shaolin.Rescuers.1979.CHINESE.1080p.BluRay.H264.AAC-VXT.ass,1970,1979,0,0,0,0,0
江湖汉子(天映修复).magnificent.wanderers.1977.chinese.1080p.webrip.x264-vxt.精校中字.srt,1970,1977,1,0,0,0,0
清宫大刺杀.flying.guillotine.2.1978.gbr.blu-ray.1080p.avc.dts-hd.ma.2.0.srt,1970,1978,0,0,0,0,0
蛇王子.the snake prince.1976.sb.dvdrip.srt,1970,1976,0,0,0,0,0
王祖贤贴吧精准校对版，新流星蝴蝶剑，简体中文字幕.srt,1970,None,0,0,0,0,0
愤怒青年.the delinquent.1973.sb.dvdrip.srt,1970,1973,0,3,0,1,0
残缺.1978.sb.ass,1970,1978,0,0,0,0,0
鹰爪铁布衫.invincible.armour.1977.德二dvd数码修复.x264.ac3.精校中字.srt,1970,1977,0,0,0,0,0
Nezha.Conquers.the.Dragon.King.2019.CHINESE.1080p.WEB-DL.chs.srt,1970,2019,0,0,0,0,0
保密局的枪声.1979.WEB-DL.720p.x265(10).AAC.NT-Zws.国语中字.mkv.ass,1970,1979,3,3,0,1,0
广东十虎与后五虎.ten.tigers.of.kwangtung.1980.gbr.blu-ray.1080p.avc.dts-hd.ma.1.0.srt,1970,1980,0,0,0,0,0
[大海盗 the pirate 1973][德版 原盘国语无字][hdsky][20.11gb] - title 2.ass,1970,1973,0,0,0,0,0
红色娘子军.1971.dvdrip.chs.srt,1970,1971,0,0,0,0,0
the.dragon.missile.1976.usa.bdrip.x264.ac3.srt,1970,1976,0,0,0,0,0
卖命小子.magnificent.ruffians.1979.gbr.blu-ray.1080p.avc.dts-hd.ma.1.0.srt,1970,1979,0,0,0,0,0
the.water.margin.1972.usa.bdrip.x264.ac3.srt,1970,1972,0,0,0,0,0
the.mechanic.1972.twilighttime.bdremux.dts-hd.ma.1.0-lch.chs.srt,1970,1972,2,8,0,0,0
贊先生與找錢華.1978.BDRip.3AC3.HKFACT-NO.7.chs.srt,1970,1978,0,0,0,0,0
[蛇形刁手].snake.in.the.eagles.shadow.1978.bluray.1080p.2audio.dts-hd.ma.2.0.x265.10bit-beitai.srt,1970,1978,0,0,0,0,0
金臂童[the.kid.with.the.golden.arm.1979].chinese.1080p.bluray.x264.dts-fgt.srt,1970,1979,0,0,0,0,0
欢颜.your.smiling.face.1979.int.dvdrip.xvid-chs.srt,1970,1979,0,0,0,0,0
绝代双骄.handsome.siblings.1992.hkg.blu-ray.1080p.avc.truehd.5.1-mteam_chi.srt,1970,1992,0,0,0,0,0
六刺客Six Assassins.1971.chn.srt,1970,1971,0,0,0,0,0
杂家小子.knockabout.1979.1080p.web-dl.x264.aac.srt,1970,1979,0,0,0,0,0
壁虎.the lizard.1972.sb.dvdrip.srt,1970,1972,0,0,0,0,0
少林寺十八铜人[香港完整版]the.18.bronzemen.1976.hk.version.gbr.blu-ray.1080p.avc.lpcm.1.0.srt,1970,1976,1,1,0,0,0
【溜友派字幕组】看得见风景的房间a.room.with.a.view.1985.1080p.bluray.x264.chs.srt,1970,1985,9,1,1,2,0
南少林与北少林.invincible.shaolin.1978.gbr.blu-ray.1080p.avc.dts-hd.ma.1.0.srt,1970,1978,0,0,0,0,0
[三德和尚与舂米六].iron.fisted.monk.1977.1080p.bluray.x264-ghouls.srt,1970,1977,1,0,0,0,0
the.crimson.charm.1970.usa.bdrip.x264.ac3.srt,1970,1970,0,0,0,0,0
少林木人巷.shaolin.wooden.men.1976.jpn.bluray.1080p.x264.ac3.精校中字.srt,1970,1976,2,0,0,0,0
雍正大破十八铜人.return.of.the.18.bronzemen.1976.gbr.blu-ray.1080p.avc.lpcm.1.0.srt,1970,1976,0,0,0,0,0
京剧 杜鹃山.srt,1970,None,0,3,0,0,0
烂头何.dirty.ho.1979.web-dl.1080p.x264.ac3.srt,1970,1979,0,1,0,1,0
唐山五虎.five.superfighters.1979.gbr.blu-ray.1080p.avc.dts-hd.ma.1.0.srt,1970,1979,0,0,0,0,0
乾隆皇奇遇记.emperor.chien.lung.1976.r3.sb.dvdrip.x264.ac3.srt,1970,1976,0,0,0,0,1
李小龙的生与死.bruce.lee.the.man.and.the.legend.1973.chn.bluray.1080p.avc.lpcm.2.0-taichi.srt,1970,1973,0,0,0,0,0
Follow.the.Star.1978.1080p.WEB-DL.H265.AAC-moddoy.chs.ass,1970,1978,0,0,0,0,0
四大门派.the.shaolin.plot.1977.gbr.blu-ray.1080p.avc.lpcm.1.0.srt,1970,1977,0,0,0,0,0
大刀王五.iron.bodyguard.1973.chinese.1080p.amzn.webrip.aac2.0.x264-ao.chs.srt,1970,1973,0,0,0,0,0
海外赤子 (简体字幕)loyal overseas chinese family.1979.dvd.x264.aac.halfcd.chs.srt,1970,1979,3,0,0,0,0
72.tenants.of.prosperity.1973.chd2.chs.srt,1970,1973,0,0,0,0,0
血滴子.the.guillotines.2012.chinese.1080p.bluray.x264.dts-wiki.srt,1970,2012,0,0,0,0,0
龙拳.Dragon.Fist.1979.BluRay.chseng.ass,1970,1979,0,0,0,0,0
江湖子弟.brotherhood.1976.sb.dvdrip.srt,1970,1976,0,1,0,0,0
歌声泪痕 the.rose.1979.720p.bluray.x264-amiable.chs.srt,1970,1979,5,36,0,4,0
drunken.master.ii.1994.bluray.3audio.720p.x264-chd.chs.srt,1970,1994,2,0,0,0,0
[天龙八部之乔峰传].sakra.2023.bluray.1080p.x265.10bit-dreamhd.chs.srt,1970,2023,0,0,0,0,1
战神滩.beach.of.the.war.gods.1973.gbr.blu-ray.1080p.avc.lpcm.2.0.srt,1970,1973,0,0,0,0,0
五毒.the.five.deadly.venoms.1978.720p.bluray.x264.srt,1970,1978,0,0,0,0,0
鬼怒川The Angry River.1971.DVDRip.X264.AC3.srt,1970,1971,0,0,0,0,0
return.of.the.chinese.boxer.1977.dubbed..srt,1970,1977,0,0,0,0,0
梅花巾 (简体字幕)the plum flower embroidery.1980.dvd.x264.aac.halfcd.chs.srt,1970,1980,0,0,0,0,0
Lucid.Dreams.2018.BluRay.720p.x264.AC3.2Audios-CMCT.chs.ass,1970,2018,2,0,0,0,0
发钱寒.money.crazy.1977.hkg.blu-ray.1080p.avc.lpcm.2.0-mteam_chi.srt,1970,1977,2,0,0,2,0
小楼残梦.the.forbidden.past.1979.d5.x264.cht.srt,1970,1979,0,2,0,0,0
Dot.The.I.2003.ENG.srt,1970,2003,0,0,0,0,0
magnificent.bodyguards.1978.ger.bdrip.720p.x264.ass,1970,1978,0,0,0,2,0
[勾魂降头].black.magic.2.1976.web-dl.1080p.x264.aac.国英双语.srt,1970,1976,0,0,0,0,0
1968.不是我死就是你亡.oggi a me... domani a te.chs.srt,1970,1968,0,0,0,1,0
the.web.of.death.1976.usa.bdrip.x264.ac3.srt,1970,1976,0,1,0,0,0
搏命单刀夺命枪.odd.couple.1979.gbr.blu-ray.avc.lpcm.1.0.ass,1970,1979,0,0,0,0,0
[猛龙过江].the.way.of.the.dragon.1972.chinese.2160p.bluray.x265.10bit.sdr.dts-hd.ma.6.1-swtyblz.srt,1970,1972,1,0,0,1,0
秋决 execution in autumn 1972 1080p gbr blu-ray avc lpcm 2.0.chs.srt,1970,1972,1,1,0,0,0
天師撞邪.shaolin.drunkard.1983.dvdrip.1ac3.hkfact.chs.srt,1970,1983,0,0,0,0,0
小煞星.the singing killer.1970.sb.dvdrip.srt,1970,1970,0,0,0,0,0
茅山僵尸拳.1979.木剑修复版.sb..ass,1970,1979,0,0,0,0,0
铁掌旋风腿.1972.BDRip.1AC3.HKFACT@NO.7.chs.srt,1970,1972,1,0,0,0,0
钟馗娘子.the.lady.hermit.1971.chinese.1080p.webrip.x265-vxt.srt,1970,1971,0,0,0,0,0
萧十一郎.swordsman.and.enchantress.1978.web-dl.1080p.h264.aac-chdweb.精校中字.srt,1970,1978,0,0,0,0,0
[迎春阁之风波].1973.chs.srt,1970,1973,0,2,0,0,0
[大地飞鹰]big.land.flying.eagles.1978.chinese.1080p.webrip.x265-vxt.srt,1970,1978,0,0,0,0,0
death.duel.1977.usa.bdrip.x264.2ac3.srt,1970,1977,0,0,0,0,0
陆阿采与黄飞鸿.challenge.of.the.masters.1976.gbr.blu-ray.1080p.avc.dts-hd.1.0.ass,1970,1976,0,0,0,0,0
方世玉与洪熙官.heroes.two.1974.bluray.720p.x264.chd.chs.srt,1970,1974,0,0,0,0,0
预产期.due.date.2010.1080p.bluray.avc.dts-hd.ma.5.1-fgt.ass,1970,2010,5,15,0,4,0
狮子山下.来客.归去来兮.below.the.lion.rock-from.vietnam.1978.d9.halfcd-tlf.chs.srt,1970,1978,1,0,0,0,0
赌王大骗局.king.gambler.1976.sb.dvdrip.x264.2audio.ac3.int-nowys.ass,1970,1976,2,0,0,0,0
刘三姐.srt,1970,None,0,1,0,0,0
金玉良缘红楼梦 1977.srt,1970,1977,3,0,0,0,0
倚天屠龙记之魔教教主（1993） 特效简体字幕.ass,1970,1993,1,0,0,0,0
black.site.delta.2017.720p.web-dl.xvid.ac3-fgt.srt,1970,2017,1,13,0,0,0
林世荣.1979.the.magnificent.butcher.1979.ass,1970,1979,0,0,0,0,0
