file,decade,year,regex你好,regex上午下午晚上中午早上好,regex你好吗,regex吃了吗,regex嗨
Of.Fathers.and.Sons.2017.1080p.AMZN.WEB-DL.DD+5.1.H.264-QOQ.chs.ass,1980,2017,1,0,0,0,0
大轮回.the.wheel.of.life.1983.jpn.blu-ray.1080p.avc.lpcm.2.0.srt,1980,1983,0,0,0,1,0
The.Happy.Ghost.1984.BluRay.720p.x264.AC3.2Audios-CMCT.chs.srt,1980,1984,0,4,0,0,0
义胆群英.just.heroes.1989.dvdrip.x264-ken.chs.srt,1980,1989,0,0,0,0,0
the imp.1981.chs.srt,1980,1981,1,0,0,0,0
雅加达 (big5繁体字幕)Jakarta.2000.DVDrip.DivX-MirAri.big5.srt,1980,2000,0,3,0,0,0
追忆似水年华 le.temps.retrouvé.d'après.l'oeuvre.de.marcel.proust.aka.time.regained.1999.1080p.knpy.web-dl.aac2.0.x264-avrs chs.srt,1980,1999,3,0,1,2,0
何必有我.Why.Me.1985-粤语.chn.srt,1980,1985,0,0,0,0,0
呆鹅爸爸.father.goose.1964.chs.srt,1980,1964,3,26,0,0,0
何必有我.Why.Me.1985-国语.chn.srt,1980,1985,0,0,0,0,0
人蛇大战.1982.bdrip.2ac3.hkfact.srt,1980,1982,0,0,0,0,0
阴阳错.esprit.d'amour.1983.hkg.blu-ray.1080p.avc.truehd.5.1-mteam_chi.srt,1980,1983,0,0,0,0,0
猛鬼大厦.operation.pink.squad.ii：haunted.tower.1989.hk.dvdrip.x264.2audio.aac.int-nowys.srt,1980,1989,0,0,0,0,0
The.Haunted.Cop.Shop.1987.BluRay.720p.x264.AC3.2Audios-CMCT.chs.ass,1980,1987,0,0,0,0,0
Long.Arm.of.the.Law.II.1987.BluRay.720p.DTS.2Audio.x264-CHD.chs.srt,1980,1987,0,0,0,0,0
Zu.The.Warriors.from.the.Magic.Mountain.1983.GBR.2K.REMASTERED.BluRay.720p.x264.AC3.2Audios-CMCT.chs.ass,1980,1983,0,0,0,0,0
富贵逼人.It‘s.a.Mad.Mad.Mad.World.1987.BluRay.1080p.AVC.TrueHD.5.1-TTG.srt,1980,1987,0,0,0,0,0
伴我闯天涯.wild.search.1989.720p.bluray.x264-wiki-chs.srt,1980,1989,3,0,0,0,0
喜盈门.1981.上影修复.web-dl.1080p.简体中字.ass,1980,1981,0,4,0,0,0
高山下的花环 (1984).chs.ass,1980,1984,1,0,0,0,0
为黛西小姐开车（简体字幕）driving.miss.daisy.1989.dvdrip.xvid-schizo.gb.srt,1980,1989,5,3,8,3,0
【白白爱分享】【国配】福星高照.My.Lucky.Stars.1985.1080p.NF.WEB-DL.DDP2.0.x264-Ao.srt,1980,1985,0,0,0,1,0
A.Better.Tomorrow.2018.CHINESE.720p.BluRay.x264.DD5.1-FGT.srt,1980,2018,0,0,0,0,0
失业生.on.trial.1981.bluray.chs.srt,1980,1981,0,1,0,0,0
父与子 padri e figli (1957).ass,1980,1957,21,27,17,0,0
香蕉天堂 banana.paradise.1989.web-dl.1080p.h264.srt,1980,1989,2,0,0,0,0
The.Fatal.Raid.2019.720p.BluRay.x264-WiKi.chs.srt,1980,2019,4,0,1,0,0
1989.悲情城市A City of Sadness.1989 (1).srt,1980,1989,3,0,0,0,0
As.Tears.Go.By.1988.restored.1080p.bluray.x264-cinephilia.chs.srt,1980,1988,1,0,0,1,0
打工皇帝.working.class.1986.hkg_chi.srt,1980,1986,3,0,4,0,0
疯狂的代价 The Price of Frenzy (1988)[未删减版][国语发音][内封简中][DVDRip][souyouzi].chs.srt,1980,1988,0,0,0,0,0
The.Terrorist.Next.Door.2008.DVDRiP.XViD.Chs.srt,1980,2008,2,2,0,4,0
[魔鬼孩子王].Kindergarten.Cop.1990.BluRay.720p.x264.AC3-CMCT.chs&eng.ass,1980,1990,3,10,0,7,0
两小无猜melody.1971.1080p.bluray.h264.aac-rarbg-chs.srt,1980,1971,0,2,0,0,0
[chinese traditional] t省的八四、八五年.srt,1980,None,3,0,0,0,0
fatal.love.1988.dvd.x264.2audio.aac.halfcd3-norm.chs&eng.ass,1980,1988,1,0,0,1,0
满洲候选人 三区中字.srt,1980,None,2,3,0,3,0
警察故事续集.重制版.Police.Story.II.1988.REMASTERED.BluRay.繁中.ass,1980,1988,1,0,1,0,0
A.City.of.Sadness.1989.SD.DVD.x264.AC3-TBB.chs.srt,1980,1989,3,0,0,0,0
Kindergarten.Cop.2.2016.1080p.BluRay.x264.DTS-FGT.chs.srt,1980,2016,6,45,0,0,0
雷雨1984.srt,1980,1984,0,0,0,0,0
A.Better.Tomorrow.2018.BluRay.720p.x264.AC3-CMCT.chs.srt,1980,2018,0,0,0,0,0
black.vengeance.1987.720p.bluray.x264-black.vengeance.1987.bluray.720p.x264.ac3.2audios-cmct.ass,1980,1987,0,0,0,0,0
女大学生宿舍.girl student's dormitory.1983.dvd.x264.aac.halfcd.chs.srt,1980,1983,1,0,0,0,0
尼罗河女儿.daughter.of.the.nile.1987.moc.bd.minisd-tlf.chs..srt,1980,1987,0,1,0,0,0
牧马人.The.Herdsman.1982.2160p.WEB-DL.H265.AAC-OurTV.chs.srt,1980,1982,0,0,0,0,0
"牧马人 The.Herdsman.1982.Web-DL.HEVC.10bit.Opus.MiniFHD-Aray, Source with Web-DL@Unkown.chs.ass",1980,1982,0,0,0,0,0
[合家欢].mr.coconut.1989.1080p.bluray.aac.x264-handjob.srt,1980,1989,2,0,0,1,0
发达秘笈 发财秘笈 (1989) dvdrip.chs,1980,1989,2,0,0,0,0
顽主.The.Trouble.Shooters.1989.WEB-DL.MiniSD-TLF.chs.srt,1980,1989,9,12,0,1,1
 自古英雄出少年（1983版 1小时20分）,1980,1983,0,0,0,0,0
天師撞邪.shaolin.drunkard.1983.dvdrip.1ac3.hkfact.chs.srt,1980,1983,0,0,0,0,0
[魔鬼孩子王].Kindergarten.Cop.1990.BluRay.720p.x264.AC3-CMCT.cht.ass,1980,1990,3,10,0,0,0
繁体中文.srt,1980,None,1,0,0,0,0
雅加达 (英文字幕)Jakarta.2000.DVDrip.DivX-MirAri.Eng.srt,1980,2000,0,0,0,0,0
[A计划II].project.a.2.1987.720p.bluray.x264-usury.国配.srt,1980,1987,1,0,1,0,0
Final.Justice.1988.HKG.BluRay.720p.x264.AC3.2Audios-CMCT.chs.srt,1980,1988,0,4,0,0,0
简体中文.srt,1980,None,1,0,0,1,0
Project.A.II.1987.DVDrip.x264.AC3.2Audios-CHD.Chs.srt,1980,1987,0,0,0,0,0
zorro.1975.1080p.bluray.x264-inklusion.chs.srt,1980,1975,2,0,0,0,0
地狱无门.we are going to eat you.1980.简中字幕,1980,1980,0,0,0,0,1
龙少爷.dragon.lord.1982.bluray.1080p.x265.10bit.2audio.mnhd-pagehd.srt,1980,1982,0,0,0,0,0
疯狂的代价 The Price of Frenzy (1988)[未删减版][国语发音][内封简中][DVDRip][souyouzi].eng.srt,1980,1988,0,0,0,0,0
"富贵再逼人.it's.a.mad,mad,mad.world.2.1988.bluray.1080p.avc.truehd.5.1-mteam.srt",1980,1988,5,0,0,1,0
灵幻先生.Mr.Vampire.3.1987.JPN.BluRay.720p.x264.AC3.2Audios-CMCT.srt,1980,1987,2,0,0,0,0
The.Killer.1989.BluRay.720p.AC3.3Audio.x264-CHD.chs.ass,1980,1989,0,0,0,0,0
Happy.Ghost.II.1985.BluRay.720p.x264.FLAC.2Audios-CMCT.chs.srt,1980,1985,5,0,0,0,0
1980-鬼打鬼.Encounter.of.the.Spooky.Kind.1980.BD1080P精校国语.ass,1980,1980,0,0,0,0,0
最佳女婿 Faithfully.Yours.1988.CHINESE.1080p.BluRay.x265-VXT.ass,1980,1988,3,0,0,0,0
飞虎雄师10之英雄本色.The.New.Option：The.Final.Showdown.2004.HK.DVDRip.x264.2Audio.AAC.eng.srt,1980,2004,0,0,0,0,0
[小毕的故事].growing.up.1983.1080p.bluray.x264.chs.ass,1980,1983,0,0,0,0,0
[黄土地].Yellow Earth 1984 WEB-DL 4K H265 AAC.ass,1980,1984,0,0,0,0,0
Days.of.Wine.and.Roses.1962.1080p.BluRay.X264-AMIABLE.chs.srt,1980,1962,7,17,0,0,0
[黑炮事件].The.Black.Cannon.Incident.720p.BluRay.x264-SPECTACLE.srt,1980,None,6,2,0,0,0
棋王.king.of.chess.1991.web-dl.1080p.x264.aac.srt,1980,1991,5,0,0,0,1
顽主1988.ass,1980,1988,9,12,0,1,1
湘女萧萧.the girl from hunan 1987 1080p web-dl aac 2.0 x264-ndd.srt,1980,1987,0,0,0,0,0
悲情城市- A.City.of.Sadness.1989.SD.DVD.x264.AC3-TBB.chs.srt,1980,1989,3,0,0,0,0
《包氏父子》（北影1983）WEB_DL.x264.srt,1980,1983,0,3,0,0,0
[魔鬼孩子王].Kindergarten.Cop.1990.BluRay.720p.x264.AC3-CMCT.chs.ass,1980,1990,3,10,0,7,0
长短脚之恋.fractured.follies.1988.hkg.blu-ray.1080p.avc.truehd.5.1-mteam简中字幕,1980,1988,0,0,0,0,0
eight.tales.of.gold.1989.int.dvdrip.xvid-xhong.chs.srt,1980,1989,1,0,0,2,0
南北少林.1986.martial arts of shaolin.chs（校对美化版）.ass,1980,1986,0,0,0,0,0
The Bride Wore Black.1968.720p.BluRay.AVC-mfcorrea.ssa,1980,1968,13,1,3,4,0
Rickshaw.Boy.骆驼祥子.srt,1980,None,2,23,0,0,2
忠义群英 seven.warriors.1989.chinese.1080p.bluray.h264.aac-vxt.srt,1980,1989,0,0,0,0,0
法内情1988.chs.srt,1980,1988,0,0,0,1,0
A.Better.Tomorrow.1986.REMASTERED.CHINESE.1080p.BluRay.H264.AAC-VXT.Eng.srt,1980,1986,0,0,0,0,0
[群龙戏凤].pedicab.driver.1989.720p.web-dl简体中字.srt,1980,1989,10,1,0,0,0
痴心的我.devoted.to.you.1986.hkg.blu-ray.1080p.avc.lpcm.2.0-mteam_chi.srt,1980,1986,1,3,0,0,0
A.Better.Tomorrow.1986.2160p.UHD.BluRay.Remux.HEVC.DTS-HD.MA.7.1-HDT,1980,1986,2,0,0,0,0
水浒传之英雄本色.All.Men.Are.Brothers.Blood.of.the.Leopard.1993.WEB-DL.1080p.H.264.AAC-CTRLTV.chs.ass,1980,1993,0,0,0,0,0
A.Better.Tomorrow.II.1987.720p.BluRay.x264.chs.srt,1980,1987,7,0,0,1,0
猛鬼撞鬼.funny.ghost.1989.hkg.blu-ray.1080p.avc.lpcm.2.0-mteam_chi.srt,1980,1989,0,0,0,0,0
倾城之恋.love.in.a.fallen.city.1984.fra.blu-ray.1080i.avc.dts-hd.ma.5.1.srt,1980,1984,2,0,0,0,0
chashmebaddoor.2013.bluray.720p.x264.dts-[ddr].chs.srt,1980,2013,17,5,0,0,0
Rape.Me.2000.1080p.BluRay.x264.AAC-[YTS.MX].chs.srt,1980,2000,2,1,5,0,0
[黄土地].Yellow.Earth.1984.1080p.HDTV.x264.AAC-HQC.chs.srt,1980,1984,0,2,0,0,0
Happy.Ghost.IV.1990.720p.BluRay.x264-WiKi.chs.srt,1980,1990,0,0,0,0,0
开心鬼救开心鬼.Happy.Ghost.IV.1990.HKG.Blu-ray.1080p.AVC.TrueHD.5.1-MTeam简中字幕,1980,1990,0,0,0,0,0
恐怖分子的孩子.of.fathers.and.sons.2017.1080p.bluray.x264-usury.chs.ass,1980,2017,1,0,0,0,0
Heart.of.the.Dragon.1985.2K.REMASTERED.UNCUT.GBR.BluRay.720p.x264.AC3.2Audios-CMCT.chs.srt,1980,1985,1,3,0,0,0
笑拳怪招2龙腾虎跃.Fearless.Hyena.2.1983.CHINESE.1080p.BluRay.H264.AAC-VXT.srt,1980,1983,0,0,0,0,0
英雄不改本色.Still.Crazy.1998.720p.WEBRip.x264.English.srt,1980,1998,0,0,0,0,0
飞龙猛将.Dragons.Forever.1988.BD1080P.X264.ass,1980,1988,2,2,0,1,0
在那河畔青草青.the.green.green.grass.of.home.1982.bd.minisd-tlf.chs.srt,1980,1982,6,0,0,0,0
诅咒巷  damnation.alley.1977.1080p.bluray.x265-rarbg,1980,1977,3,12,3,1,0
Its.A.Mad.Mad.Mad.World.1987.CHINESE.1080p.BluRay.H264.AAC-VXT.ChsEngA.srt,1980,1987,0,0,0,0,0
